customer_id,recency,frequency,monetary,Cluster
C100471,153,1,365.94,0
C100472,692,1,5.23,2
C100473,85,1,20.92,0
C100474,570,1,7502.0,1
C100477,173,1,83.68,0
C100478,436,1,896.0,2
C100481,208,1,242.4,0
C100484,170,1,573.44,0
C100488,382,1,47.07,0
C100490,67,1,4801.28,0
C100493,650,1,143.36,2
C100494,761,1,9450.0,1
C100496,275,1,2400.68,0
C100507,408,1,7502.0,1
C100508,82,1,2700.7200000000003,0
C100515,330,1,573.44,0
C100519,711,1,1200.32,2
C100521,210,1,322.56,0
C100523,631,1,4801.28,2
C100525,340,1,1200.32,0
C100529,386,1,47.07,0
C100535,434,1,35.84,2
C100539,570,1,293.25,2
C100540,396,1,20.92,0
C100544,257,1,365.94,0
C100545,60,1,16800.0,1
C100549,79,1,1016.5,0
C100551,62,1,1050.0,0
C100561,44,1,9602.72,1
C100563,315,1,300.08,0
C100570,767,1,7502.0,2
C100572,270,1,2700.7200000000003,0
C100574,349,1,1200.32,0
C100576,330,1,4801.28,0
C100579,166,1,365.94,0
C100587,304,1,143.36,0
C100599,496,1,7502.0,1
C100605,606,1,130.75,2
C100606,265,1,4801.28,0
C100607,595,1,26250.0,1
C100610,680,1,300.08,2
C100622,716,1,143.36,2
C100625,409,1,11.73,2
C100629,766,1,896.0,2
C100630,792,1,5401.53,2
C100636,611,1,896.0,2
C100639,591,1,2700.7200000000003,2
C100640,378,1,1200.32,0
C100642,754,1,2400.68,2
C100648,700,1,2700.7200000000003,2
C100651,391,1,1050.0,0
C100654,122,1,2700.7200000000003,0
C100655,686,1,162.64,2
C100656,423,1,7502.0,1
C100657,767,1,187.68,2
C100661,591,1,5401.53,2
C100663,459,1,5.23,2
C100666,666,1,143.36,2
C100671,352,1,1200.32,0
C100672,295,1,7502.0,1
C100676,612,1,2700.7200000000003,2
C100677,418,1,2700.7200000000003,2
C100684,381,1,35.84,0
C100687,263,1,7502.0,1
C100688,315,1,105.57,0
C100690,695,1,9602.72,1
C100691,233,1,600.17,0
C100694,459,1,83.68,2
C100696,165,1,5401.53,0
C100697,638,1,1016.5,2
C100703,38,1,1016.5,0
C100705,463,1,1200.32,2
C100706,408,1,5401.53,2
C100709,361,1,15004.25,1
C100710,460,1,242.4,2
C100713,54,1,9450.0,1
C100718,305,1,573.44,0
C100720,1,1,2700.7200000000003,0
C100722,173,1,11.73,0
C100725,409,1,300.08,2
C100728,327,1,300.08,0
C100735,626,1,650.56,2
C100736,84,1,300.08,0
C100743,373,1,322.56,0
C100745,410,1,16800.0,1
C100746,276,1,143.36,0
C100748,422,1,600.17,2
C100753,298,1,20.92,0
C100754,150,1,650.56,0
C100758,398,1,2700.7200000000003,2
C100760,85,1,4801.28,0
C100764,167,1,2700.7200000000003,0
C100765,515,1,40.66,2
C100768,238,1,47.07,0
C100772,713,1,4801.28,2
C100778,258,1,600.17,0
C100782,721,1,5401.53,2
C100783,222,1,20.92,0
C100786,368,1,1200.32,0
C100787,441,1,650.56,2
C100794,723,1,40.66,2
C100795,539,1,242.4,2
C100797,87,1,5401.53,0
C100799,314,1,162.64,0
C100801,4,1,1016.5,0
C100804,7,1,40.66,0
C100812,380,1,9450.0,1
C100816,326,1,130.75,0
C100822,441,1,7502.0,1
C100828,45,1,300.08,0
C100833,232,1,896.0,0
C100840,459,1,4801.28,2
C100841,399,1,1200.32,2
C100843,46,1,322.56,0
C100844,375,1,2400.68,0
C100849,83,1,300.08,0
C100851,213,1,2700.7200000000003,0
C100852,141,1,130.75,0
C100854,571,1,300.08,2
C100857,258,1,9602.72,1
C100867,187,1,4801.28,0
C100869,679,1,322.56,2
C100879,625,1,7502.0,1
C100885,393,1,83.68,0
C100894,0,1,1200.32,0
C100895,594,1,11.73,2
C100899,511,1,365.94,2
C100900,488,1,162.64,2
C100901,323,1,15004.25,1
C100902,522,1,600.17,2
C100910,222,1,5401.53,0
C100911,613,1,4801.28,2
C100919,446,1,60.6,2
C100921,691,1,573.44,2
C100926,596,1,4200.0,2
C100931,209,1,300.08,0
C100935,373,1,4801.28,0
C100936,501,1,2700.7200000000003,2
C100940,371,1,1200.32,0
C100941,346,1,4801.28,0
C100944,518,1,1200.32,2
C100948,180,1,365.94,0
C100952,222,1,2700.7200000000003,0
C100955,63,1,105.57,0
C100960,595,1,5.23,2
C100962,418,1,20.92,2
C100966,99,1,650.56,0
C100978,498,1,300.08,2
C100979,212,1,4801.28,0
C100980,710,1,7502.0,2
C100986,642,1,4801.28,2
C100987,504,1,47.07,2
C100994,732,1,1016.5,2
C101001,362,1,1200.32,0
C101002,786,1,4801.28,2
C101004,204,1,2400.68,0
C101010,648,1,15004.25,1
C101014,612,1,300.08,2
C101018,514,1,300.08,2
C101024,199,1,7502.0,1
C101027,722,1,5.23,2
C101034,110,1,46.92,0
C101035,788,1,136.35000000000002,2
C101038,794,1,1200.32,2
C101041,634,1,16800.0,1
C101045,742,1,2400.68,2
C101052,288,1,40.66,0
C101054,352,1,130.75,0
C101055,279,1,378.75,0
C101061,269,1,1200.32,0
C101064,280,1,1200.32,0
C101067,93,1,4801.28,0
C101068,5,1,896.0,0
C101069,501,1,4801.28,2
C101071,285,1,7502.0,1
C101072,758,1,600.17,2
C101074,529,1,1200.32,2
C101078,214,1,5.23,0
C101079,488,1,1016.5,2
C101080,241,1,7502.0,1
C101082,572,1,20.92,2
C101084,631,1,365.94,2
C101089,143,1,83.68,0
C101095,579,1,650.56,2
C101097,244,1,1016.5,0
C101099,327,1,47.07,0
C101100,712,1,2700.7200000000003,2
C101108,548,1,600.17,2
C101115,436,1,365.94,2
C101116,113,1,1200.32,0
C101117,470,1,105.57,2
C101119,703,1,573.44,2
C101120,626,1,1200.32,2
C101125,159,1,4801.28,0
C101131,138,1,322.56,0
C101132,98,1,46.92,0
C101133,22,1,60.6,0
C101134,19,1,9450.0,1
C101135,21,1,9450.0,1
C101136,401,1,130.75,2
C101137,238,1,143.36,0
C101138,70,1,365.94,0
C101143,63,1,7502.0,0
C101154,37,1,187.68,0
C101173,173,1,162.64,0
C101188,306,1,600.17,0
C101196,337,1,650.56,0
C101204,133,1,300.08,0
C101205,124,1,4801.28,0
C101206,540,1,46.92,2
C101208,97,1,40.66,0
C101209,454,1,9450.0,1
C101210,608,1,4200.0,2
C101212,789,1,162.64,2
C101216,302,1,26250.0,1
C101217,367,1,20.92,0
C101220,731,1,7502.0,2
C101221,10,1,365.94,0
C101222,711,1,4801.28,2
C101225,134,1,2400.68,0
C101227,95,1,2700.7200000000003,0
C101229,46,1,300.08,0
C101235,480,1,4801.28,2
C101236,350,1,300.08,0
C101238,106,1,15.15,0
C101248,617,1,47.07,2
C101249,87,1,46.92,0
C101250,104,1,130.75,0
C101251,602,1,40.66,2
C101253,41,1,7502.0,0
C101259,734,1,46.92,2
C101261,179,1,1016.5,0
C101271,439,1,83.68,2
C101278,48,1,2700.7200000000003,0
C101285,486,1,162.64,2
C101287,421,1,300.08,2
C101288,272,1,322.56,0
C101290,327,1,47.07,0
C101294,474,1,5401.53,2
C101295,756,1,20.92,2
C101301,679,1,600.17,2
C101303,735,1,5401.53,2
C101307,17,1,896.0,0
C101308,182,1,4801.28,0
C101314,515,1,1016.5,2
C101316,537,1,4801.28,2
C101318,36,1,896.0,0
C101320,37,1,15004.25,1
C101327,278,1,9602.72,1
C101329,588,1,162.64,2
C101337,92,1,4801.28,0
C101343,724,1,35.84,2
C101344,373,1,26250.0,1
C101347,639,1,60.6,2
C101351,146,1,46.92,0
C101356,6,1,300.08,0
C101359,126,1,4801.28,0
C101362,455,1,573.44,2
C101363,227,1,300.08,0
C101364,154,1,4801.28,0
C101365,626,1,130.75,2
C101367,250,1,162.64,0
C101368,301,1,300.08,0
C101370,365,1,20.92,0
C101375,305,1,130.75,0
C101377,34,1,130.75,0
C101382,578,1,20.92,2
C101384,490,1,1200.32,2
C101386,294,1,293.25,0
C101391,605,1,1016.5,2
C101393,93,1,2700.7200000000003,0
C101397,529,1,2700.7200000000003,2
C101401,153,1,1050.0,0
C101404,727,1,4200.0,2
C101405,743,1,300.08,2
C101406,719,1,9602.72,1
C101407,326,1,9602.72,1
C101410,498,1,1200.32,2
C101411,544,1,1016.5,2
C101412,184,1,2700.7200000000003,0
C101413,51,1,2700.7200000000003,0
C101414,59,1,650.56,0
C101419,445,1,7502.0,1
C101420,459,1,2700.7200000000003,2
C101422,154,1,322.56,0
C101423,426,1,2700.7200000000003,2
C101425,512,1,2400.68,2
C101427,15,1,26250.0,1
C101428,785,1,15004.25,1
C101429,274,1,2700.7200000000003,0
C101432,53,1,15004.25,1
C101433,725,1,20.92,2
C101438,631,1,322.56,2
C101451,109,1,1200.32,0
C101452,500,1,2700.7200000000003,2
C101466,775,1,1200.32,2
C101471,683,1,322.56,2
C101472,612,1,40.66,2
C101475,366,1,5.23,0
C101478,727,1,4801.28,2
C101482,781,1,136.35000000000002,2
C101484,45,1,2700.7200000000003,0
C101489,46,1,300.08,0
C101494,655,1,46.92,2
C101503,288,1,4801.28,0
C101508,223,1,4801.28,0
C101509,492,1,322.56,2
C101518,194,1,7502.0,1
C101521,622,1,162.64,2
C101522,456,1,20.92,2
C101523,537,1,650.56,2
C101525,525,1,46.92,2
C101526,648,1,143.36,2
C101527,722,1,35.84,2
C101529,43,1,365.94,0
C101531,494,1,136.35000000000002,2
C101537,470,1,4801.28,2
C101541,504,1,7502.0,1
C101543,677,1,1200.32,2
C101545,347,1,573.44,0
C101546,248,1,5.23,0
C101550,421,1,2400.68,2
C101556,279,1,2700.7200000000003,0
C101558,354,1,4801.28,0
C101559,592,1,11.73,2
C101560,257,1,83.68,0
C101561,780,1,650.56,2
C101564,303,1,83.68,0
C101566,142,1,300.08,0
C101568,724,1,5.23,2
C101575,621,1,5.23,2
C101576,340,1,1200.32,0
C101579,398,1,365.94,0
C101580,725,1,162.64,2
C101584,48,1,4801.28,0
C101594,537,1,20.92,2
C101595,317,1,2700.7200000000003,0
C101600,602,1,5.23,2
C101605,781,1,187.68,2
C101610,743,1,4801.28,2
C101612,730,1,378.75,2
C101618,331,1,9602.72,1
C101624,333,1,7502.0,1
C101629,769,1,300.08,2
C101633,582,1,1200.32,2
C101640,164,1,40.66,0
C101643,41,1,1016.5,0
C101646,114,1,1200.32,0
C101647,13,1,187.68,0
C101651,82,1,650.56,0
C101652,667,1,573.44,2
C101654,368,1,35.84,0
C101655,602,1,1050.0,2
C101656,269,1,7502.0,1
C101657,302,1,143.36,0
C101662,280,1,9450.0,1
C101663,305,1,35.84,0
C101666,685,1,130.75,2
C101667,89,1,26250.0,1
C101669,690,1,1016.5,2
C101672,709,1,40.66,2
C101673,575,1,896.0,2
C101689,110,1,2700.7200000000003,0
C101690,647,1,130.75,2
C101691,370,1,365.94,0
C101693,714,1,5401.53,2
C101694,552,1,300.08,2
C101695,612,1,7502.0,1
C101697,31,1,1200.32,0
C101709,381,1,378.75,0
C101710,10,1,365.94,0
C101711,772,1,293.25,2
C101716,194,1,162.64,0
C101723,778,1,365.94,2
C101725,607,1,40.66,2
C101726,79,1,242.4,0
C101733,376,1,365.94,0
C101737,441,1,300.08,2
C101742,700,1,83.68,2
C101743,614,1,83.68,2
C101744,234,1,20.92,0
C101746,584,1,7502.0,1
C101747,741,1,47.07,2
C101751,221,1,162.64,0
C101755,619,1,1200.32,2
C101756,528,1,4801.28,2
C101757,325,1,47.07,0
C101758,557,1,7502.0,1
C101764,319,1,5.23,0
C101767,766,1,322.56,2
C101768,737,1,143.36,2
C101770,623,1,5.23,2
C101771,351,1,1016.5,0
C101773,175,1,130.75,0
C101775,791,1,7502.0,2
C101776,493,1,47.07,2
C101779,667,1,130.75,2
C101781,747,1,1200.32,2
C101786,165,1,573.44,0
C101788,417,1,26250.0,1
C101790,783,1,1016.5,2
C101791,215,1,15004.25,1
C101793,283,1,20.92,0
C101803,749,1,5.23,2
C101806,754,1,4801.28,2
C101810,361,1,11.73,0
C101817,201,1,4801.28,0
C101818,125,1,2700.7200000000003,0
C101820,26,1,7502.0,0
C101822,713,1,1200.32,2
C101824,522,1,300.08,2
C101833,778,1,15.15,2
C101835,200,1,365.94,0
C101839,595,1,40.66,2
C101843,677,1,83.68,2
C101845,430,1,20.92,2
C101852,498,1,573.44,2
C101853,81,1,1016.5,0
C101855,21,1,300.08,0
C101856,772,1,5401.53,2
C101863,0,1,2400.68,0
C101866,676,1,300.08,2
C101871,82,1,2700.7200000000003,0
C101875,547,1,5.23,2
C101878,723,1,650.56,2
C101882,212,1,20.92,0
C101883,394,1,896.0,0
C101885,124,1,130.75,0
C101886,236,1,293.25,0
C101893,423,1,365.94,2
C101897,637,1,4801.28,2
C101898,453,1,143.36,2
C101904,490,1,20.92,2
C101908,410,1,46.92,2
C101912,589,1,9602.72,1
C101917,454,1,365.94,2
C101919,643,1,2400.68,2
C101921,119,1,7502.0,0
C101924,626,1,1200.32,2
C101926,22,1,1200.32,0
C101929,381,1,40.66,0
C101932,595,1,896.0,2
C101939,647,1,896.0,2
C101941,17,1,143.36,0
C101946,712,1,2400.68,2
C101947,75,1,15004.25,1
C101949,281,1,1016.5,0
C101953,314,1,896.0,0
C101956,741,1,11.73,2
C101957,491,1,896.0,2
C101958,722,1,2700.7200000000003,2
C101961,61,1,322.56,0
C101965,9,1,293.25,0
C101967,110,1,896.0,0
C101970,70,1,40.66,0
C101989,408,1,11.73,2
C101991,666,1,7502.0,2
C101995,440,1,2700.7200000000003,2
C101996,506,1,16800.0,1
C102001,762,1,40.66,2
C102005,347,1,5.23,0
C102006,675,1,143.36,2
C102007,122,1,365.94,0
C102008,425,1,2700.7200000000003,2
C102009,655,1,16800.0,1
C102010,11,1,300.08,0
C102015,341,1,1200.32,0
C102021,56,1,1016.5,0
C102024,247,1,242.4,0
C102029,639,1,40.66,2
C102030,422,1,11.73,2
C102033,553,1,378.75,2
C102037,685,1,47.07,2
C102043,32,1,4801.28,0
C102047,710,1,1200.32,2
C102058,285,1,136.35000000000002,0
C102060,426,1,4801.28,2
C102061,523,1,130.75,2
C102062,789,1,293.25,2
C102063,450,1,60.6,2
C102064,464,1,47.07,2
C102069,178,1,143.36,0
C102084,26,1,2400.68,0
C102085,504,1,105.57,2
C102097,680,1,1050.0,2
C102098,506,1,2700.7200000000003,2
C102100,70,1,60.6,0
C102101,530,1,105.57,2
C102102,470,1,4801.28,2
C102103,165,1,7502.0,1
C102104,222,1,4801.28,0
C102106,517,1,4801.28,2
C102108,794,1,46.92,2
C102113,588,1,11.73,2
C102114,348,1,300.08,0
C102117,329,1,9450.0,1
C102123,507,1,46.92,2
C102125,345,1,2700.7200000000003,0
C102127,95,1,5.23,0
C102130,388,1,35.84,0
C102131,378,1,300.08,0
C102134,337,1,46.92,0
C102136,126,1,4801.28,0
C102137,695,1,83.68,2
C102138,318,1,20.92,0
C102139,665,1,896.0,2
C102146,252,1,5.23,0
C102151,200,1,2700.7200000000003,0
C102154,779,1,5.23,2
C102156,330,1,378.75,0
C102158,394,1,4200.0,0
C102159,294,1,300.08,0
C102162,558,1,365.94,2
C102163,442,1,83.68,2
C102164,159,1,573.44,0
C102168,119,1,15004.25,1
C102174,190,1,1050.0,0
C102175,224,1,40.66,0
C102176,399,1,2700.7200000000003,2
C102179,710,1,2700.7200000000003,2
C102182,381,1,9602.72,1
C102193,385,1,7502.0,1
C102200,186,1,47.07,0
C102203,556,1,9602.72,1
C102204,176,1,573.44,0
C102212,335,1,4200.0,0
C102213,208,1,322.56,0
C102217,581,1,60.6,2
C102224,306,1,105.57,0
C102226,58,1,15.15,0
C102229,572,1,16800.0,1
C102230,88,1,5.23,0
C102234,404,1,300.08,2
C102238,371,1,4801.28,0
C102246,657,1,7502.0,2
C102247,152,1,2700.7200000000003,0
C102249,546,1,4801.28,2
C102250,206,1,83.68,0
C102255,47,1,1200.32,0
C102259,725,1,1200.32,2
C102263,776,1,1016.5,2
C102265,102,1,300.08,0
C102266,486,1,4801.28,2
C102271,216,1,60.6,0
C102272,438,1,143.36,2
C102275,394,1,300.08,0
C102277,781,1,20.92,2
C102280,332,1,105.57,0
C102282,456,1,2700.7200000000003,2
C102283,562,1,300.08,2
C102285,329,1,83.68,0
C102286,681,1,7502.0,2
C102287,129,1,300.08,0
C102289,743,1,2700.7200000000003,2
C102293,786,1,7502.0,2
C102294,160,1,187.68,0
C102297,140,1,2700.7200000000003,0
C102300,197,1,300.08,0
C102301,171,1,143.36,0
C102302,112,1,300.08,0
C102303,326,1,40.66,0
C102305,776,1,35.84,2
C102312,110,1,2700.7200000000003,0
C102313,484,1,162.64,2
C102318,304,1,11.73,0
C102319,699,1,5401.53,2
C102324,424,1,11.73,2
C102327,369,1,162.64,0
C102328,583,1,162.64,2
C102332,260,1,322.56,0
C102341,551,1,4801.28,2
C102342,3,1,1200.32,0
C102344,359,1,1200.32,0
C102346,263,1,322.56,0
C102353,76,1,650.56,0
C102354,281,1,1200.32,0
C102355,72,1,650.56,0
C102357,142,1,11.73,0
C102358,768,1,35.84,2
C102359,242,1,322.56,0
C102366,190,1,15004.25,1
C102369,763,1,4801.28,2
C102371,584,1,15004.25,1
C102372,393,1,365.94,0
C102375,324,1,20.92,0
C102381,656,1,2400.68,2
C102383,366,1,365.94,0
C102398,334,1,300.08,0
C102403,559,1,2700.7200000000003,2
C102404,793,1,130.75,2
C102405,264,1,9450.0,1
C102406,392,1,322.56,0
C102408,95,1,1200.32,0
C102409,617,1,650.56,2
C102410,707,1,2400.68,2
C102416,198,1,1200.32,0
C102420,779,1,573.44,2
C102425,273,1,600.17,0
C102426,282,1,2700.7200000000003,0
C102429,303,1,40.66,0
C102433,760,1,600.17,2
C102441,172,1,365.94,0
C102447,408,1,9602.72,1
C102449,663,1,2700.7200000000003,2
C102454,98,1,300.08,0
C102455,457,1,143.36,2
C102456,513,1,35.84,2
C102459,18,1,7502.0,0
C102460,135,1,2700.7200000000003,0
C102461,67,1,2700.7200000000003,0
C102467,196,1,40.66,0
C102468,550,1,7502.0,1
C102474,267,1,2400.68,0
C102477,164,1,2400.68,0
C102478,39,1,35.84,0
C102488,35,1,300.08,0
C102489,709,1,83.68,2
C102492,333,1,2700.7200000000003,0
C102495,541,1,4801.28,2
C102500,593,1,7502.0,1
C102503,142,1,7502.0,1
C102506,618,1,2700.7200000000003,2
C102508,131,1,322.56,0
C102510,628,1,40.66,2
C102511,663,1,2700.7200000000003,2
C102513,320,1,4801.28,0
C102515,445,1,9602.72,1
C102522,256,1,2700.7200000000003,0
C102524,658,1,5.23,2
C102527,142,1,83.68,0
C102529,553,1,40.66,2
C102531,603,1,300.08,2
C102535,535,1,322.56,2
C102540,675,1,7502.0,2
C102542,584,1,1016.5,2
C102543,116,1,4801.28,0
C102544,324,1,650.56,0
C102547,125,1,2700.7200000000003,0
C102548,314,1,35.84,0
C102550,535,1,7502.0,1
C102554,684,1,130.75,2
C102558,327,1,60.6,0
C102559,399,1,130.75,2
C102560,767,1,2700.7200000000003,2
C102565,693,1,162.64,2
C102566,599,1,896.0,2
C102567,665,1,300.08,2
C102571,282,1,896.0,0
C102575,209,1,1016.5,0
C102584,747,1,5.23,2
C102585,529,1,365.94,2
C102587,251,1,378.75,0
C102588,677,1,5.23,2
C102590,256,1,4200.0,0
C102592,101,1,365.94,0
C102596,457,1,1016.5,2
C102597,83,1,322.56,0
C102599,130,1,896.0,0
C102600,98,1,35.84,0
C102604,563,1,15.15,2
C102606,678,1,365.94,2
C102607,500,1,4200.0,2
C102615,260,1,83.68,0
C102619,759,1,4801.28,2
C102621,282,1,20.92,0
C102623,269,1,1200.32,0
C102625,526,1,650.56,2
C102634,650,1,7502.0,2
C102638,173,1,322.56,0
C102641,453,1,47.07,2
C102642,720,1,162.64,2
C102646,600,1,300.08,2
C102647,454,1,2700.7200000000003,2
C102650,294,1,5.23,0
C102652,548,1,15.15,2
C102656,188,1,15.15,0
C102664,528,1,143.36,2
C102665,242,1,2400.68,0
C102667,284,1,162.64,0
C102669,40,1,5401.53,0
C102672,301,1,105.57,0
C102678,390,1,2700.7200000000003,0
C102679,10,1,650.56,0
C102683,216,1,7502.0,1
C102684,643,1,650.56,2
C102685,718,1,300.08,2
C102688,131,1,1200.32,0
C102690,97,1,20.92,0
C102692,777,1,2400.68,2
C102693,306,1,1016.5,0
C102696,33,1,46.92,0
C102697,764,1,2700.7200000000003,2
C102707,670,1,4801.28,2
C102708,383,1,573.44,0
C102709,477,1,1200.32,2
C102710,620,1,9450.0,1
C102713,22,1,130.75,0
C102715,484,1,9602.72,1
C102717,443,1,162.64,2
C102718,746,1,300.08,2
C102719,532,1,83.68,2
C102732,617,1,136.35000000000002,2
C102733,611,1,365.94,2
C102734,316,1,40.66,0
C102746,173,1,187.68,0
C102753,286,1,4801.28,0
C102760,508,1,573.44,2
C102761,393,1,1200.32,0
C102764,212,1,378.75,0
C102765,345,1,1200.32,0
C102767,652,1,4200.0,2
C102773,16,1,4801.28,0
C102774,472,1,162.64,2
C102775,317,1,1016.5,0
C102776,174,1,143.36,0
C102777,284,1,1200.32,0
C102778,392,1,9602.72,1
C102780,163,1,573.44,0
C102783,785,1,2700.7200000000003,2
C102785,156,1,136.35000000000002,0
C102787,750,1,35.84,2
C102793,464,1,4801.28,2
C102798,54,1,2400.68,0
C102799,392,1,4801.28,0
C102803,328,1,1016.5,0
C102809,660,1,47.07,2
C102812,509,1,600.17,2
C102817,163,1,130.75,0
C102827,282,1,1050.0,0
C102829,605,1,4801.28,2
C102832,201,1,2700.7200000000003,0
C102837,359,1,5.23,0
C102839,440,1,162.64,2
C102843,40,1,293.25,0
C102846,607,1,162.64,2
C102849,773,1,162.64,2
C102854,725,1,7502.0,2
C102860,185,1,7502.0,1
C102865,355,1,143.36,0
C102866,421,1,35.84,2
C102868,663,1,7502.0,2
C102869,329,1,650.56,0
C102871,397,1,2400.68,0
C102872,319,1,40.66,0
C102873,56,1,650.56,0
C102875,227,1,1016.5,0
C102876,148,1,20.92,0
C102878,209,1,130.75,0
C102884,131,1,573.44,0
C102885,756,1,1016.5,2
C102891,635,1,1200.32,2
C102893,715,1,130.75,2
C102905,548,1,1200.32,2
C102908,527,1,4801.28,2
C102909,669,1,130.75,2
C102913,581,1,4801.28,2
C102920,560,1,83.68,2
C102921,434,1,300.08,2
C102922,138,1,130.75,0
C102923,269,1,1200.32,0
C102926,502,1,130.75,2
C102927,545,1,650.56,2
C102931,3,1,4801.28,0
C102933,556,1,4801.28,2
C102935,234,1,143.36,0
C102940,502,1,2700.7200000000003,2
C102942,299,1,600.17,0
C102947,367,1,162.64,0
C102948,472,1,300.08,2
C102952,593,1,9450.0,1
C102956,465,1,896.0,2
C102957,154,1,5.23,0
C102966,796,1,143.36,2
C102967,486,1,2400.68,2
C102970,705,1,35.84,2
C102978,764,1,2700.7200000000003,2
C102986,284,1,365.94,0
C102989,336,1,130.75,0
C102990,464,1,40.66,2
C102995,118,1,5.23,0
C102996,512,1,187.68,2
C103000,750,1,15004.25,1
C103003,160,1,15.15,0
C103006,185,1,136.35000000000002,0
C103011,300,1,16800.0,1
C103013,359,1,2700.7200000000003,0
C103014,60,1,4801.28,0
C103019,352,1,600.17,0
C103021,660,1,365.94,2
C103027,672,1,35.84,2
C103029,179,1,1200.32,0
C103030,770,1,300.08,2
C103031,106,1,1200.32,0
C103035,567,1,16800.0,1
C103042,661,1,9602.72,1
C103043,424,1,242.4,2
C103044,748,1,7502.0,2
C103055,652,1,5.23,2
C103057,176,1,7502.0,1
C103065,755,1,1200.32,2
C103072,49,1,896.0,0
C103073,394,1,600.17,0
C103076,39,1,47.07,0
